Student-name,student_id,cgpa,coding_skill,communication_skill,aptitude_skill,problem_solving,projects_count,internship_count,internship_company_level,certification_count,certification_company_level,technical_skills,tools_known,placement_probability,placement_status
Student_1,STU100000,6.87,7,1,5,1,1,2,2,6,0,10,3,53.35,1
Student_2,STU100001,9.75,4,10,1,6,0,1,2,2,2,4,13,73.28,1
Student_3,STU100002,8.66,2,5,7,9,1,3,2,6,2,1,13,67.82,1
Student_4,STU100003,7.99,5,6,7,1,5,1,1,8,2,8,3,65.73,1
Student_5,STU100004,5.78,3,4,10,3,1,0,1,5,2,2,7,51.85,1
Student_6,STU100005,5.78,9,7,8,5,3,3,2,7,2,2,12,73.4,1
Student_7,STU100006,5.29,6,3,7,4,5,4,1,0,0,7,6,57.28,1
Student_8,STU100007,9.33,1,7,9,1,5,1,1,7,0,8,5,65.94,1
Student_9,STU100008,8.01,3,1,8,10,3,2,2,7,1,2,12,63.54,1
Student_10,STU100009,8.54,4,7,8,4,2,2,2,2,1,2,5,70.74,1
Student_11,STU100010,5.1,9,1,3,4,4,0,1,5,1,4,11,52.56,1
Student_12,STU100011,9.85,6,1,10,10,2,0,1,5,0,9,8,78.21,1
Student_13,STU100012,9.16,4,2,4,4,6,0,0,6,1,9,1,61.3,1
Student_14,STU100013,6.06,1,2,4,3,3,0,1,2,1,8,14,39.36,0
Student_15,STU100014,5.91,8,4,1,7,2,4,0,0,2,7,4,60.87,1
Student_16,STU100015,5.92,2,1,6,1,4,3,1,8,2,8,5,41.64,0
Student_17,STU100016,6.52,8,4,2,2,4,0,0,5,1,7,9,57.63,1
Student_18,STU100017,7.62,6,2,9,1,0,1,0,4,2,3,14,59.16,1
Student_19,STU100018,7.16,8,4,1,4,2,4,2,1,1,4,1,62.43,1
Student_20,STU100019,6.46,6,4,1,5,3,3,1,3,2,2,9,56.25,1
Student_21,STU100020,8.06,5,9,10,10,0,4,2,4,0,8,6,83.58,1
Student_22,STU100021,5.7,5,9,6,5,2,2,2,3,0,11,3,64.01,1
Student_23,STU100022,6.46,10,1,1,2,5,4,1,3,0,8,3,58.52,1
Student_24,STU100023,6.83,10,5,3,3,4,4,2,5,1,11,11,69.63,1
Student_25,STU100024,7.28,8,7,10,4,3,2,2,3,1,7,11,77.65,1
Student_26,STU100025,8.93,7,4,2,10,5,2,2,8,1,9,4,75.69,1
Student_27,STU100026,6.0,8,5,9,6,2,2,2,1,2,11,5,69.74,1
Student_28,STU100027,7.57,8,2,5,6,4,4,0,4,1,7,12,68.6,1
Student_29,STU100028,7.96,7,3,6,2,4,2,1,2,1,3,9,65.04,1
Student_30,STU100029,5.23,2,7,2,2,5,0,1,7,0,8,6,44.57,0
Student_31,STU100030,8.04,9,10,8,9,2,1,2,2,1,3,5,90.31,1
Student_32,STU100031,5.85,7,7,6,2,2,1,1,7,2,1,13,61.77,1
Student_33,STU100032,5.33,6,4,8,2,3,2,0,7,0,1,6,55.74,1
Student_34,STU100033,9.74,9,1,8,3,0,3,2,1,0,4,6,74.94,1
Student_35,STU100034,9.83,1,1,1,9,4,4,2,6,2,2,9,58.86,1
Student_36,STU100035,9.04,2,4,7,6,0,1,2,5,1,11,10,62.52,1
Student_37,STU100036,6.52,1,4,2,6,0,0,0,0,0,10,7,44.02,0
Student_38,STU100037,5.49,10,6,8,10,4,3,1,1,0,11,14,79.05,1
Student_39,STU100038,8.42,3,7,2,5,2,3,0,3,1,8,13,62.9,1
Student_40,STU100039,7.2,5,9,4,7,4,0,1,1,2,1,7,69.96,1
Student_41,STU100040,5.61,1,9,2,4,5,4,0,4,1,6,4,51.75,1
Student_42,STU100041,7.48,4,10,7,10,0,4,0,2,2,4,5,77.31,1
Student_43,STU100042,5.17,8,5,5,10,3,2,2,5,1,8,7,67.01,1
Student_44,STU100043,9.55,6,10,9,3,4,0,2,8,0,3,8,84.39,1
Student_45,STU100044,6.29,1,3,5,7,6,0,2,6,1,5,6,49.34,0
Student_46,STU100045,8.31,1,3,8,10,3,0,0,4,1,7,8,62.46,1
Student_47,STU100046,6.56,3,6,2,1,2,2,0,0,0,1,14,48.71,0
Student_48,STU100047,7.6,10,1,3,6,2,1,1,0,0,4,9,66.45,1
Student_49,STU100048,7.73,8,7,6,2,5,4,0,0,2,2,1,74.9,1
Student_50,STU100049,5.92,8,3,7,2,3,2,1,2,2,4,14,59.78,1
Student_51,STU100050,9.85,3,5,10,8,6,2,2,6,1,2,4,79.35,1
Student_52,STU100051,8.88,7,7,8,3,3,2,2,8,1,11,9,78.33,1
Student_53,STU100052,9.7,3,7,3,9,4,0,0,5,0,2,5,73.08,1
Student_54,STU100053,9.47,4,9,7,4,2,2,1,6,0,10,11,76.7,1
Student_55,STU100054,7.99,9,1,8,6,3,1,1,2,1,7,4,71.96,1
Student_56,STU100055,9.61,4,3,10,1,1,3,2,7,1,8,9,67.05,1
Student_57,STU100056,5.44,3,9,6,10,4,2,0,5,1,11,2,65.25,1
Student_58,STU100057,5.98,5,8,4,10,4,1,1,2,2,7,2,67.39,1
Student_59,STU100058,5.23,7,2,6,3,1,0,1,1,1,9,11,50.81,1
Student_60,STU100059,6.63,5,8,9,4,6,3,1,8,0,8,8,71.1,1
Student_61,STU100060,6.94,4,8,3,5,2,4,2,6,1,11,8,62.69,1
Student_62,STU100061,6.36,8,2,2,1,3,4,0,8,0,8,5,54.16,1
Student_63,STU100062,9.14,4,8,5,4,3,0,1,3,0,6,6,70.86,1
Student_64,STU100063,6.78,2,3,7,5,2,0,0,3,2,5,11,51.29,1
Student_65,STU100064,6.4,10,7,3,4,6,4,1,5,0,1,5,73.59,1
Student_66,STU100065,7.71,6,9,5,10,1,0,2,1,2,2,8,77.09,1
Student_67,STU100066,5.7,2,4,4,10,1,4,0,0,1,10,6,52.67,1
Student_68,STU100067,9.01,3,6,7,7,6,0,1,2,0,11,6,72.04,1
Student_69,STU100068,5.37,1,9,2,8,1,4,2,4,1,1,7,53.06,1
Student_70,STU100069,9.93,5,5,7,8,4,1,2,1,1,9,2,79.1,1
Student_71,STU100070,8.86,9,1,2,3,6,0,2,8,0,4,9,66.35,1
Student_72,STU100071,5.99,2,3,3,5,3,4,1,0,1,3,3,46.45,0
Student_73,STU100072,5.03,7,9,5,10,0,0,2,2,0,10,9,68.15,1
Student_74,STU100073,9.08,5,3,7,8,4,4,2,4,0,2,10,74.02,1
Student_75,STU100074,8.53,2,10,6,7,4,4,2,0,1,7,5,74.67,1
Student_76,STU100075,8.65,8,2,7,9,3,3,2,3,0,6,14,77.42,1
Student_77,STU100076,8.86,6,4,6,10,2,0,2,0,2,10,1,74.85,1
Student_78,STU100077,5.37,4,5,1,7,6,1,1,6,2,10,10,51.93,1
Student_79,STU100078,6.79,4,7,5,2,6,2,0,0,1,7,4,60.4,1
Student_80,STU100079,5.58,2,7,1,4,5,2,1,2,0,1,6,48.23,0
Student_81,STU100080,9.32,3,9,7,8,3,0,1,3,1,1,3,77.81,1
Student_82,STU100081,8.12,7,8,4,9,2,4,1,3,1,10,13,79.85,1
Student_83,STU100082,6.65,3,2,5,7,3,4,0,6,0,4,13,54.17,1
Student_84,STU100083,5.32,5,8,1,5,4,1,0,4,1,5,12,55.7,1
Student_85,STU100084,6.55,10,8,8,1,6,0,2,7,0,11,6,75.89,1
Student_86,STU100085,6.63,6,5,4,9,5,2,0,2,0,2,14,67.13,1
Student_87,STU100086,8.65,6,3,3,6,6,1,1,7,1,11,11,67.21,1
Student_88,STU100087,8.19,4,9,1,2,1,0,2,8,2,10,1,60.85,1
Student_89,STU100088,9.44,6,7,4,10,4,0,0,8,2,6,10,81.12,1
Student_90,STU100089,7.36,3,1,3,10,4,0,1,8,2,2,10,54.72,1
Student_91,STU100090,5.6,7,8,8,2,0,3,2,0,0,7,9,64.75,1
Student_92,STU100091,8.57,7,10,9,10,4,1,2,8,1,10,9,91.27,1
Student_93,STU100092,8.8,4,5,5,1,4,0,2,7,0,2,11,61.57,1
Student_94,STU100093,7.81,2,6,9,4,4,1,1,1,1,1,4,63.31,1
Student_95,STU100094,8.85,7,9,1,10,5,2,2,2,0,9,2,82.75,1
Student_96,STU100095,7.47,3,10,7,2,0,0,1,6,1,4,12,63.66,1
Student_97,STU100096,7.61,1,8,7,10,2,4,0,2,2,1,11,68.75,1
Student_98,STU100097,7.14,2,3,6,9,5,0,2,1,2,8,8,57.82,1
Student_99,STU100098,5.13,10,5,4,2,5,0,0,3,2,9,7,61.18,1
Student_100,STU100099,5.54,9,4,9,9,6,1,2,8,2,6,1,73.58,1
Student_101,STU100100,5.16,8,1,3,1,6,1,2,1,1,10,6,48.83,0
Student_102,STU100101,8.18,6,5,1,7,6,3,2,0,1,10,10,68.75,1
Student_103,STU100102,6.57,6,10,2,6,6,0,1,6,2,4,12,69.16,1
Student_104,STU100103,7.54,1,7,3,6,6,2,0,0,1,2,5,58.84,1
Student_105,STU100104,9.54,2,1,2,2,0,1,2,5,0,8,2,49.2,0
Student_106,STU100105,6.25,4,4,6,1,1,3,2,4,1,3,13,50.88,1
Student_107,STU100106,7.05,3,6,7,10,2,4,1,7,1,6,13,67.67,1
Student_108,STU100107,8.78,1,9,5,8,6,4,2,2,0,6,13,72.83,1
Student_109,STU100108,6.14,8,8,5,8,5,3,1,2,2,1,5,75.39,1
Student_110,STU100109,5.38,7,2,7,2,5,4,2,0,0,7,6,55.94,1
Student_111,STU100110,6.45,4,3,6,4,0,0,0,3,2,7,10,51.11,1
Student_112,STU100111,5.81,9,10,8,4,1,1,1,5,0,5,13,75.22,1
Student_113,STU100112,9.65,4,5,9,2,6,2,1,4,2,2,6,72.88,1
Student_114,STU100113,9.04,1,7,2,9,1,4,2,6,0,4,2,65.36,1
Student_115,STU100114,8.17,10,3,2,4,3,0,0,0,1,7,1,68.71,1
Student_116,STU100115,9.36,1,7,1,4,6,1,2,2,0,6,4,60.96,1
Student_117,STU100116,9.02,1,5,7,4,3,0,1,3,0,9,12,60.74,1
Student_118,STU100117,5.93,1,10,4,5,5,0,2,5,2,8,4,55.85,1
Student_119,STU100118,9.46,4,6,9,10,5,1,0,3,2,5,9,81.77,1
Student_120,STU100119,7.7,1,6,6,8,4,4,1,6,1,7,12,63.44,1
Student_121,STU100120,9.04,2,4,7,4,2,4,0,2,0,3,14,63.09,1
Student_122,STU100121,9.48,4,8,7,3,0,0,0,7,1,4,1,71.64,1
Student_123,STU100122,6.59,7,9,8,1,4,3,1,6,2,7,11,71.51,1
Student_124,STU100123,5.55,2,2,4,2,2,4,0,2,0,1,10,40.17,0
Student_125,STU100124,6.14,8,9,3,4,5,0,2,8,1,9,11,68.59,1
Student_126,STU100125,7.14,7,4,3,9,3,2,1,4,1,7,1,67.46,1
Student_127,STU100126,9.09,9,6,10,1,0,2,0,1,2,9,8,80.3,1
Student_128,STU100127,9.3,6,7,8,6,1,3,0,8,0,7,5,80.56,1
Student_129,STU100128,5.03,4,4,3,6,1,0,2,7,2,11,9,46.61,0
Student_130,STU100129,7.55,6,8,8,10,4,2,2,7,2,5,6,80.99,1
Student_131,STU100130,7.09,4,10,2,3,4,4,2,0,0,1,10,64.42,1
Student_132,STU100131,6.11,7,8,5,10,0,0,2,3,0,11,3,70.74,1
Student_133,STU100132,5.6,9,1,5,9,1,3,0,6,2,7,1,62.48,1
Student_134,STU100133,6.69,3,8,7,10,6,3,0,5,2,10,10,71.34,1
Student_135,STU100134,9.71,3,10,5,3,6,4,0,8,0,11,13,77.09,1
Student_136,STU100135,6.62,2,3,9,1,4,2,1,7,1,9,6,50.65,1
Student_137,STU100136,7.59,1,5,3,2,1,2,0,8,1,3,11,48.27,0
Student_138,STU100137,8.52,1,10,9,4,3,3,1,3,0,11,3,71.23,1
Student_139,STU100138,6.82,3,8,1,4,4,1,0,7,0,5,4,55.98,1
Student_140,STU100139,9.86,7,6,3,2,5,3,2,5,0,10,3,75.42,1
Student_141,STU100140,9.81,9,4,4,10,6,3,0,8,1,3,7,87.12,1
Student_142,STU100141,6.26,2,4,6,6,2,0,1,0,0,1,12,50.92,1
Student_143,STU100142,7.49,7,4,10,6,4,4,2,5,2,8,11,75.08,1
Student_144,STU100143,6.5,1,6,8,3,3,0,0,1,0,7,11,52.44,1
Student_145,STU100144,6.42,2,7,7,1,0,3,1,2,0,10,9,52.69,1
Student_146,STU100145,5.18,6,5,8,10,6,0,0,8,2,8,5,66.48,1
Student_147,STU100146,8.05,5,10,6,9,1,2,2,4,0,3,6,79.01,1
Student_148,STU100147,7.51,8,8,6,4,6,3,1,4,2,5,5,78.0,1
Student_149,STU100148,5.26,2,7,6,9,5,2,2,0,1,7,3,58.29,1
Student_150,STU100149,6.39,1,8,3,5,0,2,1,1,1,9,3,51.44,1
Student_151,STU100150,9.54,7,4,10,7,6,4,2,8,0,6,4,85.49,1
Student_152,STU100151,6.2,6,8,4,3,4,2,1,6,1,3,5,63.16,1
Student_153,STU100152,5.72,8,6,6,3,2,0,1,3,0,7,7,62.39,1
Student_154,STU100153,7.45,8,3,7,8,0,0,0,6,0,7,14,69.82,1
Student_155,STU100154,9.93,2,8,3,1,6,1,2,1,2,3,9,66.06,1
Student_156,STU100155,6.21,8,7,4,8,2,4,0,4,2,5,5,71.7,1
Student_157,STU100156,8.36,6,10,6,8,4,1,2,8,0,6,2,82.5,1
Student_158,STU100157,8.81,9,5,1,3,6,2,2,1,1,1,13,72.95,1
Student_159,STU100158,6.19,7,4,7,1,2,3,0,2,0,1,9,59.15,1
Student_160,STU100159,8.64,2,1,1,9,2,0,1,4,1,4,5,53.0,1
Student_161,STU100160,6.84,8,10,10,4,3,3,2,4,2,10,6,81.57,1
Student_162,STU100161,8.16,9,3,9,7,6,1,1,7,1,7,9,80.01,1
Student_163,STU100162,8.17,7,2,10,9,0,1,2,6,0,7,4,73.81,1
Student_164,STU100163,7.68,4,8,9,3,4,0,0,2,1,8,11,69.03,1
Student_165,STU100164,5.45,9,8,9,5,3,1,1,4,1,11,14,73.79,1
Student_166,STU100165,9.18,4,5,4,10,2,3,0,7,0,6,14,72.72,1
Student_167,STU100166,6.6,4,5,2,3,3,1,2,4,2,7,12,51.71,1
Student_168,STU100167,5.93,9,4,7,5,3,3,0,1,0,6,3,67.76,1
Student_169,STU100168,5.2,8,1,4,2,2,2,2,1,2,5,4,49.55,0
Student_170,STU100169,7.95,4,1,5,4,4,4,1,0,1,10,8,57.06,1
Student_171,STU100170,8.39,8,6,1,2,6,0,1,5,2,6,12,68.45,1
Student_172,STU100171,5.08,8,4,10,3,1,1,0,0,1,10,7,60.98,1
Student_173,STU100172,7.56,7,4,6,5,3,0,0,7,2,4,7,66.86,1
Student_174,STU100173,6.13,10,3,7,9,0,1,1,0,0,7,11,70.82,1
Student_175,STU100174,8.23,6,9,3,3,2,2,0,7,1,8,1,70.65,1
Student_176,STU100175,5.87,8,3,10,10,1,3,0,5,0,8,2,71.49,1
Student_177,STU100176,8.45,7,8,2,6,3,0,1,8,0,4,3,73.79,1
Student_178,STU100177,6.93,5,2,10,4,2,2,2,2,2,3,1,60.39,1
Student_179,STU100178,9.68,4,4,7,4,2,2,0,6,0,7,9,69.03,1
Student_180,STU100179,5.69,2,1,1,10,3,4,0,1,2,7,9,45.26,0
Student_181,STU100180,6.71,8,5,2,10,6,2,1,4,2,11,14,71.42,1
Student_182,STU100181,5.57,9,2,3,5,5,4,2,0,1,3,5,60.09,1
Student_183,STU100182,9.62,4,1,4,7,5,2,2,4,0,1,11,65.39,1
Student_184,STU100183,9.39,4,1,5,4,0,3,0,7,0,3,11,59.94,1
Student_185,STU100184,6.29,5,2,4,8,2,2,0,2,0,3,4,55.58,1
Student_186,STU100185,8.3,2,5,10,9,2,3,2,5,0,6,3,70.36,1
Student_187,STU100186,9.09,7,9,3,9,3,1,0,3,2,2,9,83.13,1
Student_188,STU100187,7.78,5,6,1,9,1,2,2,7,2,4,2,65.46,1
Student_189,STU100188,7.65,6,4,7,2,2,2,0,1,0,5,8,63.24,1
Student_190,STU100189,6.21,4,3,10,3,6,1,0,4,2,6,7,57.53,1
Student_191,STU100190,5.47,8,8,6,5,2,4,1,5,2,10,2,69.33,1
Student_192,STU100191,9.49,8,3,2,1,3,3,2,7,0,9,12,67.71,1
Student_193,STU100192,9.5,5,1,2,4,5,1,2,1,2,10,3,60.95,1
Student_194,STU100193,8.17,6,4,3,5,2,1,0,8,0,5,2,63.61,1
Student_195,STU100194,6.7,3,5,8,9,6,0,1,6,1,2,11,64.58,1
Student_196,STU100195,6.75,1,5,8,8,3,1,2,3,2,7,12,57.97,1
